10.11Z,Transformation et conservation de la viande de boucherie,Transformation et conservation de la viande de boucherie,Transf. & conserv.  viande de boucherie
10.12,Transformation et conservation de la viande de volaille,Transformation et conservation de la viande de volaille,Transf. & conserv. de viande de volaille
10.12Z,Transformation et conservation de la viande de volaille,Transformation et conservation de la viande de volaille,Transf. & conserv. de viande de volaille
10.13,Préparation de produits à base de viande,Préparation de produits à base de viande,Préparation de produits à base de viande
10.13A,Préparation industrielle de produits à base de viande,Préparation industrielle de produits à base de viande,Prépa. indust. produits à base de viande
10.13B,Charcuterie,Charcuterie,Charcuterie
10.2,"Transformation et conservation de poisson, de crustacés et de mollusques","Transform. & conserv. poisson, crustacés & mollusques","Transf. & conserv. poisson, crust., etc."
10.20,"Transformation et conservation de poisson, de crustacés et de mollusques","Transform. & conserv. poisson, crustacés & mollusques","Transf. & conserv. poisson, crust., etc."
10.20Z,"Transformation et conservation de poisson, de crustacés et de mollusques","Transform. & conserv. poisson, crustacés & mollusques","Transf. & conserv. poisson, crust., etc."
10.3,Transformation et conservation de fruits et légumes,Transformation et conservation de fruits et légumes,Transf. et conserv. de fruits et légumes
10.31,Transformation et conservation de pommes de terre,Transformation et conservation de pommes de terre,Transf. et conserv. de pommes de terre
10.31Z,Transformation et conservation de pommes de terre,Transformation et conservation de pommes de terre,Transf. et conserv. de pommes de terre
10.32,Préparation de jus de fruits et légumes,Préparation de jus de fruits et légumes,Préparation de jus de fruits et légumes
10.32Z,Préparation de jus de fruits et légumes,Préparation de jus de fruits et légumes,Préparation de jus de fruits et légumes
10.39,Autre transformation et conservation de fruits et légumes,Autre transformation et conservation de fruits et légumes,Aut. transf. & cons. de fruit et légume
10.39A,Autre transformation et conservation de légumes,Autre transformation et conservation de légumes,Autre transf. et conserv. de légumes
10.39B,Transformation et conservation de fruits,Transformation et conservation de fruits,Transformation et conservation de fruits
10.4,Fabrication d’huiles et graisses végétales et animales,Fabrication d’huiles et graisses végétales et animales,Fab. huile et graisse végétale & animale
10.41,Fabrication d'huiles et graisses,Fabrication d'huiles et graisses,Fabrication d'huiles et graisses
10.41A,Fabrication d'huiles et graisses brutes,Fabrication d'huiles et graisses brutes,Fabrication d'huiles et graisses brutes
